Club,Name,League,Count
%C3%81guilas_Doradas,Águilas Doradas,Categoría Primera A,2
La_Equidad,La Equidad,Categoría Primera A,2
Barranquilla_F.C.,Barranquilla F.C.,Categoría Primera B,2
Envigado_F.C.,Envigado F.C.,Categoría Primera B,2
Llaneros_F.C.,Llaneros F.C.,Categoría Primera A,2
Cagliari_Calcio,Cagliari Calcio,Serie A,2
Independiente_Medell%C3%ADn,Independiente Medellín,Categoría Primera A,2
Deportes_Tolima,Deportes Tolima,Categoría Primera A,2
Athlitiki_Enosi_Larissa_F.C.,Athlitiki Enosi Larissa F.C.,Super League Greece 2,2
F.C._Arouca,F.C. Arouca,Primeira Liga,2
Hatta_Club,Hatta Club,UAE Division One,2
Baniyas_Club,Baniyas Club,UAE Pro League,2
FK_Mash%27al_Mubarek,FK Mash%27al Mubarek,Unknown,2
Shabab_Al-Ahli_Club,Shabab Al-Ahli Club,Unknown,2
FK_Olympic_Tashkent,FC Olympic Tashkent,Uzbekistan Super League,2
FC_Pari_Nizhny_Novgorod,FC Pari Nizhny Novgorod,Russian First League,2
Khor_Fakkan_Club,Khor Fakkan Club,UAE Pro League,2
FC_Bukhara,FC Bukhara,Unknown,2
NK_Zagreb,NK Zagreb,4. NL Središte Zagreb podskupina A,2
RNK_Split,RNK Split,1. ŽNL,2
Darlington_F.C.,Darlington F.C.,National League North,2
Bristol_Rovers_F.C.,Bristol Rovers F.C.,EFL League Two,2
West_African_Football_Academy,West African Football Academy,Ghana Premier League,2
Chorrillo_F.C.,Club Deportivo Universitario,Liga Panameña de Fútbol,2
FC_DAC_1904_Dunajsk%C3%A1_Streda,FC DAC 1904 Dunajská Streda,Slovak First Football League,2
Deportivo_Saprissa,Deportivo Saprissa,Liga Promerica,2
Club_Deportivo_Universitario,Club Deportivo Universitario,Unknown,2
Uni%C3%B3n_Deportivo_Universitario,Uni%C3%B3n Deportivo Universitario,Unknown,2
FC_Cartagena,FC Cartagena,Primera Federación,2
Alianza_F.C._(Panama),Alianza F.C. (Panama),Liga Panameña de Fútbol,2
Chepo_F.C.,Chepo F.C.,Liga Panameña de Fútbol,2
Deportivo_La_Guaira_F.C.,Deportivo La Guaira F.C.,Liga FUTVE,2
Club_Alianza_Lima,Alianza Lima,Liga 1,2
D.C._United,D.C. United,Major League Soccer,2
C.D._Cobresal,Cobresal,Liga de Primera,2
Swindon_Town_F.C.,Swindon Town F.C.,EFL League Two,1
Torino_F.C.,Torino FC,Serie A,1
MFK_Tatran_Liptovsk%C3%BD_Mikul%C3%A1%C5%A1,MFK Tatran Liptovský Mikuláš,2. Liga,1
FC_Hlu%C4%8D%C3%ADn,FC Hlučín,Moravian-Silesian Football League,1
SK_Slavia_Praha,SK Slavia Praha,Unknown,1
1._SK_Prost%C4%9Bjov,1. SK Prostějov,Czech National Football League,1
HFK_T%C5%99eb%C3%AD%C4%8D,HFK Třebíč,Czech National Football League,1
FK_Dukla_Prague,FK Dukla Prague,Czech First League,1
FC_Silon_T%C3%A1borsko,FC Silon Táborsko,Czech National Football League,1
AC_Sparta_Prague_B,AC Sparta Prague B,Czech National Football League,1
FC_Sellier_%26_Bellot_Vla%C5%A1im,FC Sellier & Bellot Vlašim,Czech National Football League,1
Cimarrones_de_Sonora,Cimarrones de Sonora,Liga Premier,1
Quer%C3%A9taro_F.C._Premier,Querétaro F.C. Premier,Liga Premier,1
CF_Rayo_Majadahonda,CF Rayo Majadahonda,Segunda Federación,1
Tigres_UANL_Premier,Tigres UANL Premier,Liga Premier,1
San_Luis_F.C.,San Luis F.C.,Liga MX,1
AVS_Futebol_SAD,AVS Futebol SAD,Liga Portugal 2,1
Tacoma_Defiance,Tacoma Defiance,MLS Next Pro,1
Monarcas_Morelia,Atlético Morelia,Liga de Expansión MX,1
Coras_de_Nayarit_F.C.,Coras FC,Liga Premier,1
Cafetaleros_de_Chiapas,Cafetaleros de Chiapas,Liga Premier,1
Highlands_Park_F.C.,Highlands Park F.C.,SAFA Second Division Gauteng Stream,1
Cape_Town_City_F.C._(2016),Cape Town City F.C. (2016),National First Division,1
University_of_Pretoria_F.C.,University of Pretoria F.C.,National First Division,1
Pretoria_Callies_F.C.,Pretoria Callies F.C.,National First Division,1
Bizana_Pondo_Chiefs_F.C.,Bizana Pondo Chiefs F.C.,SAFA Second Division,1
AmaZulu_F.C.,AmaZulu F.C.,South African Premiership,1
Cercle_Brugge,Cercle Brugge KSV,Belgian Pro League,1
B-SAD,B-SAD,Liga Portugal 2,1
Santos_F.C._(South_Africa),Santos F.C. (South Africa),ABC Motsepe League,1
Bloemfontein_Celtic_F.C.,Bloemfontein Celtic F.C.,SAFA Second Division,1
Royal_AM_F.C.,Royal AM F.C.,Premiership,1
Chippa_United_F.C.,Chippa United F.C.,South African Premiership,1
Baroka_F.C.,Baroka F.C.,First Division,1
Magesi_F.C.,Magesi F.C.,South African Premiership,1
Black_Leopards_F.C.,Black Leopards F.C.,National First Division,1
Real_Kings_F.C.,Real Kings F.C.,Unknown,1
Bidvest_Wits_F.C.,Bidvest Wits F.C.,Premiership,1
Maritzburg_United_F.C.,Durban City F.C. (2024),South African Premiership,1
Kaizer_Chiefs_F.C.,Kaizer Chiefs F.C.,South African Premiership,1
Vissel_Kobe,Vissel Kobe,J1 League,1
Suwon_FC,Suwon FC,K League 2,1
Jeju_United_FC,Jeju SK FC,K League 1,1
Gyeongju_Korea_Hydro_%26_Nuclear_Power_FC,Gyeongju Korea Hydro & Nuclear Power FC,K3 League,1
Daejeon_Citizen_FC,Daejeon Hana Citizen,K League 1,1
Seoul_E-Land_FC,Seoul E-Land FC,K League 2,1
Daejeon_Citizen,Daejeon Citizen,Unknown,1
Asan_Mugunghwa,Asan Mugunghwa FC,K League 2,1
SV_Darmstadt_98,SV Darmstadt 98,2. Bundesliga,1
Pohang_Steelers,Pohang Steelers,K League 1,1
Daejeon_Korail_FC,Daejeon Korail FC,K3 League,1
Ansan_Greeners_FC,Ansan Greeners FC,K League 2,1
Zhejiang_Professional_F.C.,Zhejiang Professional F.C.,Chinese Super League,1
Suwon_Samsung_Bluewings,Suwon Samsung Bluewings,K League 2,1
Daegu_FC,Daegu FC,K League 2,1
FK_Igman_Konjic,FK Igman Konjic,First League of FBiH,1
HNK_Branitelj,HNK Branitelj,League of Hercegovina-Neretva Canton,1
FC_Zorya_Luhansk,FC Zorya Luhansk,Ukrainian Premier League,1
FK_Sarajevo,FK Sarajevo,Premier League BH,1
KV_Kortrijk,KV Kortrijk,Challenger Pro League,1
Jagiellonia_Bia%C5%82ystok,Jagiellonia Białystok,Ekstraklasa,1
Jagiellonia_Bia%C5%82ystok_II,Jagiellonia Białystok II,"III liga, group I",1
RB_Leipzig_affiliated_teams#Reserve_team,RB Leipzig affiliated teams,Regionalliga Nordost,1
FK_Viagem_%C3%9Ast%C3%AD_nad_Labem,FK Viagem Ústí nad Labem,Czech National Football League,1
FC_Astana,FC Astana,Premier League,1
FK_Radnik_Had%C5%BEi%C4%87i,FK Radnik Hadžići,First League of FBiH,1
NK_Bravo,NK Bravo,Slovenian PrvaLiga,1
Dynamo_Dresden,Dynamo Dresden,2. Bundesliga,1
NK_Neretvanac_Opuzen,NK Neretvanac Opuzen,3. NL – South,1
NK_Slaven_Belupo,NK Slaven Belupo,Croatian Football League,1
New_England_Revolution_II,New England Revolution II,MLS Next Pro,1
NK_Osijek,NK Osijek,Croatian Football League,1
Debreceni_VSC,Debreceni VSC,NB I,1
Di%C3%B3sgy%C5%91ri_VTK,Diósgyőri VTK,NB I,1
SC_Austria_Lustenau,SC Austria Lustenau,2. Liga (Austria),1
SV_Ried,SV Ried,Austrian Bundesliga,1
FK_Sloga_Doboj,FK Sloga Doboj,Premier League BH,1
FK_Krupa,FK Krupa,Premier League of Bosnia and Herzegovina,1
NK_Zvijezda_Grada%C4%8Dac,NK Zvijezda Gradačac,Second League of FBiH,1
CS_Universitatea_Craiova,CS Universitatea Craiova,Liga I,1
FC_Universitatea_Cluj,FC Universitatea Cluj,Liga I,1
SV_Lafnitz,SV Lafnitz,Regionalliga Central,1
K-W_United_FC,K–W United FC,Premier Development League,1
New_York_Red_Bulls_U-23,New York Red Bulls U-23,USL League Two,1
Gillingham_F.C.,Gillingham F.C.,EFL League Two,1
Kitsap_Pumas,Kitsap Pumas,USL League Two,1
TSS_FC_Rovers,TSS FC Rovers,British Columbia Premier League,1
Calgary_Foothills_FC,Calgary Foothills FC,Alberta Premier League,1
Cavalry_FC,Cavalry FC,Canadian Premier League,1
Leix%C3%B5es_S.C.,Leixões S.C.,Liga Portugal 2,1
F.C._Basel,FC Basel,Swiss Super League,1
Manhattan_SC,Manhattan SC,USL League Two,1
New_York_Pancyprian-Freedoms,New York Pancyprian-Freedoms,Eastern Premier Soccer League,1
VfB_L%C3%BCbeck,VfB Lübeck,Regionalliga Nord,1
VfR_Neum%C3%BCnster,VfR Neumünster,Oberliga Schleswig-Holstein,1
FK_Javor_Ivanjica,FK Javor Ivanjica,Serbian First League,1
Panetolikos_F.C.,Panetolikos F.C.,Super League Greece,1
Black_Rock_FC,Black Rock FC,USL League Two,1
Seacoast_United_Phantoms,Seacoast United Phantoms,USL League Two,1
Colorado_Rapids_2,Colorado Rapids 2,MLS Next Pro,1
FC_Montreal,FC Montreal,USL Championship,1
Ottawa_Fury_FC,Ottawa Fury FC,NASL,1
Los_Angeles_FC_2,Los Angeles FC 2,MLS Next Pro,1
SC_Toronto,SC Toronto,Canadian Soccer League,1
NK_Trnje,NK Trnje,Second League,1
Valletta_F.C.,Valletta F.C.,Maltese Premier League,1
Sirens_F.C.,Sirens F.C.,Maltese Challenge League,1
N%C3%B5mme_Kalju_FC_U21,Nõmme Kalju FC U21,Esiliiga,1
N%C3%B5mme_Kalju_FC,Nõmme Kalju FC,Meistriliiga,1
CF_Montr%C3%A9al_U23,CF Montréal U23,Ligue1 Québec,1
SSV_Ulm_1846,SSV Ulm 1846,3. Liga,1
S.C._Mineiro_Aljustrelense,S.C. Mineiro Aljustrelense,Beja FA,1
Lusail_SC,Lusail SC,Qatari Stars League,1
Al-Gharafa_Sports_Club,Al-Gharafa Sports Club,Unknown,1
Al-Ahli_(Doha),Al-Ahli (Doha),Unknown,1
Al-Sadd_Sports_Club,Al-Sadd Sports Club,Unknown,1
Al-Sadd_SC,Al-Sadd SC,Unknown,1
Al-Wakra_Sports_Club,Al-Wakra Sports Club,Unknown,1
CD_Calahorra_B,CD Calahorra B,Regional Preferente,1
FC_Aarau,FC Aarau,Swiss Challenge League,1
FC_Tuggen,FC Tuggen,1. Liga Classic,1
FC_Thun,FC Thun,Swiss Super League,1
Pisa_SC,Pisa SC,Serie B,1
%C3%89toile_Carouge_FC,Étoile Carouge FC,Swiss Challenge League,1
Cruzeiro_EC,Cruzeiro EC,Campeonato Brasileiro Série A,1
Fortaleza_EC,Fortaleza Esporte Clube,Campeonato Brasileiro Série B,1
Ava%C3%AD_FC,Avaí FC,Campeonato Brasileiro Série B,1
Gr%C3%AAmio_Osasco_Audax_Esporte_Clube,Grêmio Osasco Audax Esporte Clube,Campeonato Paulista Segunda Divisão,1
Clube_do_Remo,Clube do Remo,Campeonato Brasileiro Série A,1
Oeste_Futebol_Clube,Osasco Sporting,Campeonato Paulista Série A2,1
Am%C3%A9rica_Futebol_Clube_(RN),América Futebol Clube (RN),Campeonato Brasileiro Série D,1
Botafogo_Futebol_Clube_(SP),Botafogo Futebol Clube (SP),Campeonato Brasileiro Série B,1
Associa%C3%A7%C3%A3o_Portuguesa_de_Desportos,Associação Portuguesa de Desportos,Campeonato Brasileiro Série D,1
Am%C3%A9rica_Futebol_Clube_(MG),América Futebol Clube (MG),Campeonato Brasileiro Série B,1
Clube_Atl%C3%A9tico_Paranaense,Clube Atl%C3%A9tico Paranaense,Unknown,1
Guaratinguet%C3%A1_Futebol,Guaratinguetá Futebol,Campeonato Paulista Série A2,1
Pitua%C3%A7u_Futebol_Clube_Cajazeiras,Jacobinense Esporte Clube,Campeonato Brasileiro Série D,1
Ituano_FC,Ituano FC,Campeonato Brasileiro Série C,1
G.D._Ribeir%C3%A3o,G.D. Ribeirão,Portuguese Second Division,1
Club_Sportivo_Sergipe,Club Sportivo Sergipe,Campeonato Brasileiro Série D,1
PFC_Ludogorets_Razgrad_II,PFC Ludogorets Razgrad II,Second League,1
FC_Tsarsko_Selo_Sofia,FC Tsarsko Selo Sofia,First Professional Football League,1
Racing_CH,Racing CH,Ligue Haïtienne,1
Baltimore_SC,Baltimore SC,Ligue Haïtienne,1
Miami_United,Miami United FC,United Premier Soccer League,1
Santiago_Morning,Santiago Morning,Segunda División Profesional,1
Deportes_Magallanes,Deportes Magallanes,Primera B,1
Mushuc_Runa_S.C.,Mushuc Runa,Ecuadorian Serie A,1
New_Mexico_United,New Mexico United,USL Championship,1
El_Paso_Locomotive_FC,El Paso Locomotive FC,USL Championship,1
US_Chang%C3%A9,US Changé,Régional 1,1
Olympique_Saint-Quentin,Olympique Saint-Quentin,National 2,1
Kerala_Blasters_FC,Kerala Blasters FC,Indian Super League,1
US_Quevilly-Rouen,US Quevilly-Rouen Métropole,Ligue 3,1
FC_Annecy,FC Annecy,Ligue 2,1
Ocean_City_Nor%27easters,Ocean City Nor'easters,USL League Two,1
Indy_Eleven,Indy Eleven,USL Championship,1
Orange_County_SC,Orange County SC,USL Championship,1
Reno_1868_FC,Reno 1868 FC,USL Championship,1
Charlotte_Independence,Charlotte Independence,USL League One,1
Sacramento_Republic_FC,Sacramento Republic FC,USL Championship,1
CS_Fabrose,FC Laval,Ligue1 Québec,1
AS_Blainville,A.S. Blainville,Ligue1 Québec,1
Forge_FC,Forge FC,Canadian Premier League,1
A.S._Roma,A.S. Roma,Unknown,1
TSV_Hartberg,TSV Hartberg,Austrian Bundesliga,1
Le_Puy_Foot_43_Auvergne,Le Puy Foot 43 Auvergne,Ligue 3,1
Ferencv%C3%A1rosi_TC,Ferencvárosi TC,NB I,1
FC_Bastia-Borgo,FC Borgo,Championnat National 1,1
FC_Polissya_Zhytomyr,FC Polissya Zhytomyr,Ukrainian Premier League,1
US_Quevilly-Rouen_M%C3%A9tropole,US Quevilly-Rouen M%C3%A9tropole,Unknown,1
Reading_United_AC,Reading United AC,USL League Two,1
Stade_Brestois_29,Stade Brestois 29,Ligue 1,1
Vit%C3%B3ria_F.C.,Vitória F.C.,Liga Portugal 2,1
Uni%C3%A3o_Santar%C3%A9m,União de Santarém,Liga 3,1
FC_Cosmos_Koblenz,FC Cosmos Koblenz,Oberliga Rheinland-Pfalz/Saar,1
Akritas_Chlorakas,Akritas Chlorakas,Second Division,1
FK_Auda,FK Auda,Virslīga,1
FCM_Aubervilliers,FCM Aubervilliers,National 1,1
SD_Navarro_CF,SD Navarro CF,Tercera Federación,1
Paide_Linnameeskond_U21,Paide Linnameeskond U21,II liiga,1
Paide_Linnameeskond,Paide Linnameeskond,Meistriliiga,1
FC_Dinamo_Tbilisi,FC Dinamo Tbilisi,Erovnuli Liga,1
1._FC_Tatran_Pre%C5%A1ov,1. FC Tatran Prešov,2. Liga,1
Real_Hope_FA,Real Hope FA,Ligue Haïtienne,1
Paris_Saint-Germain,Paris Saint-Germain,Unknown,1
FUS_de_Rabat,Fath Union Sport,Botola Pro,1
Club_Brugge,Club Brugge,Unknown,1
RC_Strasbourg_Alsace_Academy,RC Strasbourg Alsace Academy,Championnat National 3,1
%C3%89toile_de_Casablanca,EJS Casablanca,Amateurs I,1
AD_Ceuta_B,AD Ceuta B,Segunda Federación,1
UD_Almer%C3%ADa_B,UD Almería B,Segunda Federación,1
UD_Melilla_B,UD Melilla B,Tercera Federación,1
CD_Numancia,CD Numancia,Segunda Federación,1
RWDM47,RWDM Brussels,Belgian Division 1,1
FC_Istres,Istres FC,National 1,1
Olympique_Al%C3%A8s,Olympique Alès,National 3,1
FC_S%C3%A8te_34,SC Sète,Régional 2,1
CE_Sabadell_FC,CE Sabadell FC,Primera Federación,1
Fath_Union_Sport,Fath Union Sport,Unknown,1
Racing_de_Casablanca,Racing de Casablanca,Botola Pro 2,1
Hebei_F.C.,Hebei F.C.,Chinese Super League,1
SpVgg_Erkenschwick,SpVgg Erkenschwick,Oberliga Westfalen,1
IR_Tanger,IR Tangier,Botola Pro,1
Maghreb_de_F%C3%A8s,Maghreb of Fez,Botola Pro,1
MA_T%C3%A9touan,MA Tétouan,Botola Pro 2,1
AS_FAR,AS FAR,Botola Pro,1
AS_Nancy-Lorraine,AS Nancy-Lorraine,Unknown,1
Helmond_Sport,Helmond Sport,Eerste Divisie,1
Mudgeeraba_S.C.,Mudgeeraba S.C.,Football Queensland Premier League,1
Merrimac_FC,Merrimac F.C.,USL League Two,1
Queen_of_the_South_F.C.,Queen of the South F.C.,Scottish League One,1
Redlands_United_FC,Redlands United FC,FQPL,1
Palm_Beach_SC,Palm Beach SC,FQPL 3 − South Coast,1
Surfers_Paradise_Apollo_SC,Surfers Paradise Apollo S.C.,FQLD 3 – South Coast,1
Oadby_Town_F.C.,GNG Oadby Town F.C.,Midland League,1
Ilkeston_F.C.,Ilkeston F.C.,Northern Premier League,1
Inverness_Caledonian_Thistle_F.C.,Inverness Caledonian Thistle F.C.,Scottish Championship,1
Partick_Thistle_F.C.,Partick Thistle F.C.,Scottish Championship,1
Dundee_F.C.,Dundee F.C.,Scottish Premiership,1
K.V._Oostende,KV Oostende,Belgian Pro League,1
U.S._Cremonese,U.S. Cremonese,Unknown,1
Al-Ettifaq_Club,Al-Ettifaq Club,Saudi Pro League,1
Ardeer_Thistle_F.C.,Ardeer Thistle F.C.,West of Scotland League Second Division,1
Kilwinning_Rangers_F.C.,Kilwinning Rangers F.C.,Lowland League West,1
Albion_Rovers_F.C.,Albion Rovers F.C.,Lowland League West,1
Hemel_Hempstead_Town_F.C.,Hemel Hempstead Town F.C.,National League South,1
Basingstoke_Town_F.C.,Basingstoke Town F.C.,Southern League,1
Dagenham_%26_Redbridge_F.C.,Dagenham & Redbridge F.C.,National League South,1
Aldershot_Town_F.C.,Aldershot Town F.C.,National League,1
Hamilton_Academical_F.C.,Hamilton Academical F.C.,Scottish League One,1
Dunfermline_Athletic_F.C.,Dunfermline Athletic F.C.,Scottish Championship,1
Greenock_Morton_F.C.,Greenock Morton F.C.,Scottish Championship,1
Cowdenbeath_F.C.,Cowdenbeath F.C.,Lowland League East,1
Arbroath_F.C.,Arbroath F.C.,Scottish Championship,1
St_Johnstone_F.C.,St Johnstone F.C.,Scottish Premiership,1
Blacktown_City_FC,Blacktown City FC,NPL NSW,1
Perth_Glory_FC_Youth,Perth Glory FC Youth,NPL Western Australia,1
Perth_Glory_FC_NPL,Perth Glory FC NPL,Unknown,1
JEF_United_Chiba,JEF United Chiba,J1 League,1
Albirex_Niigata,Albirex Niigata,J2 League,1
Bulleen_Lions,FC Bulleen Lions,Victoria Premier League 1,1
Adelaide_United,Adelaide United FC,A-League Men,1
FSV_Frankfurt_II,FSV Frankfurt II,Regionalliga Südwest,1
Campbelltown_City_SC,Campbelltown City SC,NPL South Australia,1
Esbjerg_fB,Esbjerg fB,1st Division,1
Sutherland_Sharks_FC,Sutherland Sharks FC,NPL NSW,1
Western_Sydney_Wanderers_FC_Youth,Western Sydney Wanderers FC Youth,National Premier Leagues NSW,1
Sydney_FC_Youth,Sydney FC Youth,National Premier Leagues NSW,1
Brisbane_Roar_FC_NPL,Brisbane Roar FC Youth,NPL Queensland,1
Green_Gully,Green Gully SC,NPL Victoria,1
Hume_City_FC,Hume City FC,NPL Victoria,1
Al_Nassr,Al-Nassr FC,Saudi Pro League,1
Cheltenham_Town_F.C.,Cheltenham Town F.C.,EFL League Two,1
Bury_F.C.,Bury F.C.,Northern Premier League,1
Frankston_Pines_FC,Frankston Pines SC,State League Division 4-South,1
Melbourne_Victory_FC_Youth,Melbourne Victory FC Youth,NPL Victoria,1
Brisbane_Roar_FC_Youth,Brisbane Roar FC Youth,Unknown,1
Adelaide_Comets_FC,Adelaide Comets FC,NPL South Australia,1
Newcastle_Jets_FC_NPL,Newcastle Jets FC Youth,NSW League One,1
Vaasan_Palloseura,Vaasan Palloseura,Veikkausliiga,1
Kuopion_Palloseura,Kuopion Palloseura,Veikkausliiga,1
Figueirense_FC,Figueirense FC,Campeonato Brasileiro Série C,1
Club_Cerro_Porte%C3%B1o_(Presidente_Franco),Club Cerro Porteño (Presidente Franco),Primera B Nacional,1
Club_River_Plate_(Asunci%C3%B3n),Club River Plate (Asunción),Primera B Metropolitana,1
Club_Sportivo_San_Lorenzo,Club Sportivo San Lorenzo,Primera División,1
N%C3%AEmes_Olympique,Nîmes Olympique,Championnat National 1,1
A.C._Milan,A.C. Milan,Unknown,1
Al_Taawoun_FC,Al Taawoun FC,Saudi Pro League,1
Independiente_Rivadavia,Independiente Rivadavia,Primera División,1
LDU_Quito,LDU Quito,Unknown,1
Club_Atl%C3%A9tico_Tembetary,Club Atlético Tembetary,División Intermedia,1
Defensores_de_Cambaceres,Defensores de Cambaceres,Primera C,1
Club_Atl%C3%A9tico_Tigre,Club Atlético Tigre,Primera División,1
Gimnasia_y_Esgrima_de_La_Plata,Gimnasia y Esgrima de La Plata,Unknown,1
Independiente_F.B.C.,Independiente F.B.C.,División Intermedia,1
Club_General_D%C3%ADaz_(Luque),Club General Díaz (Luque),Primera B,1
Deportes_Concepci%C3%B3n_(Chile),Deportes Concepción (Chile),Liga de Primera,1
Crucero_del_Norte,Crucero del Norte,Torneo Federal A,1
Club_Atl%C3%A9tico_Nueva_Chicago,Club Atlético Nueva Chicago,Primera Nacional,1
Club_Atl%C3%A9tico_Patronato,Club Atlético Patronato,Primera Nacional,1
Deportivo_Capiat%C3%A1,Club Deportivo Capiatá,División Intermedia,1
G.D._Santa_Cruz_de_Alvarenga,G.D. Santa Cruz de Alvarenga,Portuguese District Championships,1
Deportivo_Santan%C3%AD,Deportivo Santaní,División Intermedia,1
Esporte_Clube_Juventude,Esporte Clube Juventude,Campeonato Brasileiro Série B,1
Cuiab%C3%A1_Esporte_Clube,Cuiabá Esporte Clube,Campeonato Brasileiro Série B,1
Club_Guaran%C3%AD,Club Guaraní,División de Honor,1
Atyr%C3%A1_F.C.,Atyrá F.C.,Primera B Nacional,1
Resistencia_S.C.,Resistencia S.C.,División Intermedia,1
Karacabey_Birlikspor,Karacabey Belediyespor,TFF 2. Lig,1
%C4%B0stanbulspor,İstanbulspor,TFF 1. Lig,1
A.C._Alcanenense,A.C. Alcanenense,Portuguese District Championships,1
Alt%C4%B1nordu_F.K.,Altınordu F.K.,TFF 2. Lig,1
BB_Bodrumspor,Bodrum F.K.,TFF 1. Lig,1
24_Erzincanspor,24 Erzincanspor,TFF 2. Lig,1
Hammarby_Talang_FF,Hammarby Talang FF,Ettan,1
Silivrispor,Silivrispor,TFF Third League,1
1922_Konyaspor,1922 Konyaspor,TFF Third League,1
Denizlispor,Denizlispor,Denizli Super Amateur League,1
Altay_S.K.,Altay S.K.,TFF 3. Lig,1
G%C3%B6lc%C3%BCkspor,Gölcükspor,TFF 3. Lig,1
Bal%C4%B1kesirspor,Balıkesirspor,TFF Third League,1
Hacettepe_S.K.,Hacettepe S.K.,Ankara Amateur First Division,1
Ankara_Demirspor,Ankara Demirspor,TFF 2. Lig,1
Ankara_Ke%C3%A7i%C3%B6reng%C3%BCc%C3%BC,Ankara Keçiörengücü S.K.,TFF 1. Lig,1
U.S._Sassuolo_Calcio,U.S. Sassuolo Calcio,Unknown,1
1461_Trabzon,1461 Trabzon,Turkish Regional Amateur League,1
Bucaspor,Bucaspor,TFF 1. Lig,1
Bucaspor_1928,Bucaspor 1928,TFF 3. Lig,1
Arsinspor,Arsinspor,Regional Amateur League,1
Sancaktepe_FK,Sancaktepe FK,Turkish Regional Amateur League,1
%C5%9Eanl%C4%B1urfaspor,Şanlıurfaspor,TFF 2. Lig,1
Ankara_Ke%C3%A7i%C3%B6reng%C3%BCc%C3%BC_S.K.,Ankara Ke%C3%A7i%C3%B6reng%C3%BCc%C3%BC S.K.,Unknown,1
Jersey_Express_S.C.,Jersey Express S.C.,Premier Development League,1
Richmond_Kickers,Richmond Kickers,USL League One,1
Boston_Bolts_(USL),Boston Bolts (USL),USL League Two,1
Chicago_Fire_Premier,Chicago Fire U-23,Premier Development League,1
Washington_Crossfire,Crossfire Redmond,NPSL,1
Seattle_Sounders_FC_2,Seattle Sounders FC 2,Unknown,1
San_Jose_Earthquakes_II,San Jose Earthquakes II,MLS Next Pro,1
Columbus_Crew_2,Columbus Crew 2,MLS Next Pro,1
New_York_Cosmos_(2013%E2%80%932020),New York Cosmos (2013–2020),North American Soccer League (2011–2017),1
SV_Sandhausen,SV Sandhausen,Regionalliga Südwest,1
S%C3%B8nderjyske_Fodbold,Sønderjyske Fodbold,Superliga,1
Bethlehem_Steel_FC,Bethlehem Steel FC,Unknown,1
Chicago_Fire_FC_II,Chicago Fire FC II,MLS Next Pro,1
Go_Ahead_Eagles,Go Ahead Eagles,Eredivisie,1
VV_Smitshoek,VV Smitshoek,Vierde Divisie,1
Kozakken_Boys,Kozakken Boys,Tweede Divisie,1
SC_Preu%C3%9Fen_M%C3%BCnster,SC Preußen Münster,3. Liga,1
Willem_II_Tilburg,Willem II Tilburg,Eredivisie,1
Hapoel_Tel_Aviv_F.C.,Hapoel Tel Aviv F.C.,Israeli Premier League,1
Al-Wehda_FC,Al-Wehda FC,Unknown,1
Brighton_and_Hove_Albion_F.C.,Brighton and Hove Albion F.C.,Unknown,1
Cangzhou_Mighty_Lions_F.C.,Cangzhou Mighty Lions F.C.,Chinese Super League,1
CF_Intercity,CF Intercity,Segunda Federación,1
Cardiff_City_F.C.,Cardiff City F.C.,EFL Championship,1
Band%C4%B1rmaspor,Bandırmaspor,TFF 1. Lig,1
Rotherham_United,Rotherham United,Unknown,1
VV_Hoogeveen,VV Hoogeveen,Derde Divisie,1
Sabah_FC_(Azerbaijan),Sabah FK (Azerbaijan),Azerbaijan Premier League,1
SBV_Excelsior,Excelsior Rotterdam,Eredivisie,1
FC_Eindhoven,FC Eindhoven,Eerste Divisie,1
1._FC_Kaiserslautern_II,1. FC Kaiserslautern II,Regionalliga Südwest,1
Persis_Solo,Persis Solo,Championship,1
Terengganu_FC,Terengganu FC,Malaysia Super League,1
FC_Den_Bosch,FC Den Bosch,Eerste Divisie,1
USV_Hercules,USV Hercules,Derde Divisie,1
IJsselmeervogels,IJsselmeervogels,Tweede Divisie,1
Quilmes_Atl%C3%A9tico_Club,Quilmes Atlético Club,Primera Nacional,1
Rangers_de_Talca,Rangers de Talca,Primera B,1
Club_Universidad_de_Chile,Club Universidad de Chile,Liga de Primera,1
LDU_Portoviejo,L.D.U. Portoviejo,Serie B,1
Barcelona_S.C.,Barcelona S.C.,Ecuadorian Serie A,1
Granada_CF_B,Recreativo Granada,Tercera Federación,1
%C5%9Al%C4%85sk_Wroc%C5%82aw,Śląsk Wrocław,Ekstraklasa,1
Rak%C3%B3w_Cz%C4%99stochowa,Raków Częstochowa,Ekstraklasa,1
Imbabura_S.C.,Imbabura Sporting Club,Ecuadorian Serie A,1
C.S._Emelec,Club Sport Emelec,Ecuadorian Serie A,1
Cercle_Brugge_K.S.V.,Cercle Brugge K.S.V.,Unknown,1
C.D._El_Nacional,Club Deportivo El Nacional,Serie B,1
Alianza_Cotopaxi_S.C.,Alianza Cotopaxi S.C.,Unknown,1
FC_Shakhtar_Donetsk,FC Shakhtar Donetsk,Ukrainian Premier League,1
Guayaquil_City_F.C.,Guayaquil City F.C.,LigaPro Serie A,1
Rayo_Cantabria,Rayo Cantabria,Segunda Federación,1
Manta_F.C.,Manta F.C.,Serie A,1
Hannover_96_II,Hannover 96 II,Regionalliga Nord,1
Karlsruher_SC_II,Karlsruher SC II,Oberliga Baden-Württemberg,1
