Player,Team,Position,DOB
Konrad Laimer,Austria,Right-back,1997-05-27
Patrick Wimmer,Austria,Right winger,2001-05-30
Alexander Prass,Austria,Central midfielder,2001-05-26
Marco Friedl,Austria,Centre-back,1998-03-16
Paul Wanner,Austria,Attacking midfielder,2005-12-23
Michael Svoboda,Austria,Centre-back,1998-10-15
Alessandro Schöpf,Austria,Midfielder,1994-02-07
Yazeed Abulaila,Jordan,Goalkeeper,1993-01-08
Mohammad Abu Hashish,Jordan,Left-back,1995-05-09
Abdallah Nasib,Jordan,Centre-back,1994-02-25
Husam Abu Dahab,Jordan,Center-back,2000-05-13
Yazan Al-Arab,Jordan,Centre-back,1996-01-31
Amer Jamous,Jordan,Midfielder,2002-07-03
Mohammad Abu Zrayq,Jordan,Winger,1997-12-30
Noor Al-Rawabdeh,Jordan,Midfielder,1997-02-24
Ali Olwan,Jordan,Forward,2000-03-26
Musa Al-Taamari,Jordan,Right winger,1997-06-10
Odeh Al-Fakhouri,Jordan,Forward,2005-11-22
Nour Bani Attiah,Jordan,Goalkeeper,1993-01-25
Mahmoud Al-Mardi,Jordan,Winger,1993-10-06
Rajaei Ayed,Jordan,Midfielder,1993-07-25
Ibrahim Sadeh,Jordan,Midfielder,2000-04-27
Mo Abualnadi,Jordan,Centre-back,2001-02-08
Salim Obaid,Jordan,Left back,1992-01-17
Mohammad Taha,Jordan,Left-back,2005-07-13
Saed Al-Rosan,Jordan,Center-back,1997-02-01
Mohannad Abu Taha,Jordan,Winger,2003-02-02
Nizar Al-Rashdan,Jordan,Defensive midfielder,1999-03-23
Abdallah Al-Fakhouri,Jordan,Goalkeeper,2000-01-22
Ihsan Haddad,Jordan,Right back,1994-02-05
Ali Azaizeh,Jordan,Winger,2004-04-13
Mohammad Al-Dawoud,Jordan,Midfielder,1992-04-12
Anas Badawi,Jordan,Right-back,1997-09-13
David Ospina,Colombia,Goalkeeper,1988-08-31
Daniel Muñoz,Colombia,Right-back,1996-05-26
Jhon Lucumí,Colombia,Centre-back,1998-06-26
Santiago Arias,Colombia,Right-back,1992-01-13
Kevin Castaño,Colombia,Defensive midfielder,2000-09-29
Richard Ríos,Colombia,Central midfielder,2000-06-02
Luis Díaz,Colombia,Left winger,1997-01-13
Jorge Carrascal,Colombia,Attacking midfielder,1998-05-25
Jhon Córdoba,Colombia,Forward,1993-05-11
James Rodríguez,Colombia,Attacking midfielder,1991-07-12
Jhon Arias,Colombia,Wide midfielder,1997-09-21
Camilo Vargas,Colombia,Goalkeeper,1989-03-09
Yerry Mina,Colombia,Centre-back,1994-09-23
Gustavo Puerta,Colombia,Midfielder,2003-07-23
Juan Portilla,Colombia,Midfielder,1998-09-12
Jefferson Lerma,Colombia,Defensive midfielder,1994-10-25
Johan Mojica,Colombia,Left-back,1992-08-21
Willer Ditta,Colombia,Centre-back,1998-01-23
Cucho Hernández,Colombia,Striker,1999-04-20
Juan Fernando Quintero,Colombia,Attacking midfielder,1993-01-18
Jaminton Campaz,Colombia,Attacking midfielder,2000-05-24
Deiver Machado,Colombia,Left-back,1993-09-02
Davinson Sánchez,Colombia,Centre-back,1996-06-12
Álvaro Montero,Colombia,Goalkeeper,1995-03-29
Luis Suárez,Colombia,Forward,1997-12-02
Andrés Gómez,Colombia,Winger,2002-09-12
Lionel Mpasi,DR Congo,Goalkeeper,1994-08-01
Aaron Wan-Bissaka,DR Congo,Right-back,1997-11-26
Steve Kapuadi,DR Congo,Centre-back,1998-04-30
Axel Tuanzebe,DR Congo,Defender,1997-11-14
Dylan Batubinsika,DR Congo,Centre-back,1996-02-15
Ngal'ayel Mukau,DR Congo,Midfielder,2004-11-03
Nathanaël Mbuku,DR Congo,Forward,2002-03-16
Samuel Moutoussamy,DR Congo,Defensive midfielder,1996-08-12
Brian Cipenga,DR Congo,Winger,1998-03-11
Théo Bongonda,DR Congo,Winger,1995-11-20
Gaël Kakuta,DR Congo,Winger,1991-06-21
Joris Kayembe,DR Congo,Left-back,1994-08-08
Meschak Elia,DR Congo,Forward,1997-08-06
Noah Sadiki,DR Congo,Defensive midfielder,2004-12-17
Aaron Tshibola,DR Congo,Defensive midfielder,1995-01-02
Timothy Fayulu,DR Congo,Goalkeeper,1999-07-24
Cédric Bakambu,DR Congo,Forward,1991-04-11
Charles Pickel,DR Congo,Defensive midfielder,1997-05-15
Fiston Mayele,DR Congo,Forward,1994-06-24
Yoane Wissa,DR Congo,Forward,1996-09-03
Matthieu Epolo,DR Congo,Goalkeeper,2005-01-15
Chancel Mbemba,DR Congo,Centre-back,1994-08-08
Simon Banza,DR Congo,Forward,1996-08-13
Gédéon Kalulu,DR Congo,Right-back,1997-08-29
Edo Kayembe,DR Congo,Midfielder,1998-06-03
Arthur Masuaku,DR Congo,Left-back,1993-11-07
Diogo Costa,Portugal,Goalkeeper,1999-09-19
Nélson Semedo,Portugal,Right-back,1993-11-16
Rúben Dias,Portugal,Centre-back,1997-05-14
Tomás Araújo,Portugal,Defender,2002-05-16
Diogo Dalot,Portugal,Full-back,1999-03-18
Matheus Nunes,Portugal,Right-back,1998-08-27
Cristiano Ronaldo,Portugal,Forward,1985-02-05
Bruno Fernandes,Portugal,Attacking midfielder,1994-09-08
Gonçalo Ramos,Portugal,Striker,2001-06-20
Bernardo Silva,Portugal,Midfielder,1994-08-10
João Félix,Portugal,Attacking midfielder,1999-11-10
José Sá,Portugal,Goalkeeper,1993-01-17
Renato Veiga,Portugal,Defender,2003-07-29
Gonçalo Inácio,Portugal,Centre-back,2001-08-25
João Neves,Portugal,Midfielder,2004-09-27
Francisco Trincão,Portugal,Winger,1999-12-29
Rafael Leão,Portugal,Left winger,1999-06-10
Pedro Neto,Portugal,Winger,2000-03-09
Gonçalo Guedes,Portugal,Winger,1996-11-29
João Cancelo,Portugal,Full-back,1994-05-27
Rúben Neves,Portugal,Defensive midfielder,1997-03-13
Rui Silva,Portugal,Goalkeeper,1994-02-07
Vitinha,Portugal,Central midfielder,2000-02-13
Samú Costa,Portugal,Defensive midfielder,2000-11-27
Nuno Mendes,Portugal,Left-back,2002-06-19
Francisco Conceição,Portugal,Right winger,2002-12-14
Utkir Yusupov,Uzbekistan,Goalkeeper,1991-01-04
Abdukodir Khusanov,Uzbekistan,Centre-back,2004-02-29
Khojiakbar Alijonov,Uzbekistan,Right-back,1997-04-19
Farrukh Sayfiev,Uzbekistan,Left-back,1991-01-17
Rustam Ashurmatov,Uzbekistan,Centre back,1996-07-07
Akmal Mozgovoy,Uzbekistan,Midfielder,1999-04-02
Otabek Shukurov,Uzbekistan,Midfielder,1996-06-22
Jamshid Iskanderov,Uzbekistan,Midfielder,1993-10-16
Odiljon Hamrobekov,Uzbekistan,Midfielder,1996-02-13
Ruslanbek Jiyanov,Uzbekistan,Striker,2001-06-05
Oston Urunov,Uzbekistan,Midfielder,2000-12-19
Abduvohid Nematov,Uzbekistan,Goalkeeper,2001-03-20
Sherzod Nasrullaev,Uzbekistan,Left-back,1998-07-23
Eldor Shomurodov,Uzbekistan,Forward,1995-06-29
Umar Eshmurodov,Uzbekistan,Centre-back,1992-11-30
Botirali Ergashev,Uzbekistan,Goalkeeper,1995-06-23
Dostonbek Khamdamov,Uzbekistan,Winger,1996-07-24
Abdulla Abdullaev,Uzbekistan,Defender,1997-09-01
Azizjon Ganiev,Uzbekistan,Midfielder,1998-02-22
Azizbek Amonov,Uzbekistan,Midfielder,1997-10-30
Igor Sergeev,Uzbekistan,Forward,1993-04-30
Abbosbek Fayzullaev,Uzbekistan,Attacking midfielder,2003-10-03
Sherzod Esanov,Uzbekistan,Central midfielder,2003-02-01
Bekhruz Karimov,Uzbekistan,Right-back,2007-08-07
Avazbek Ulmasaliev,Uzbekistan,Centre-back,2000-03-27
Jakhongir Urozov,Uzbekistan,Left-back,2004-01-18
Dominik Livaković,Croatia,Goalkeeper,1995-01-09
Josip Stanišić,Croatia,Full-back,2000-04-02
Marin Pongračić,Croatia,Centre-back,1997-09-11
Joško Gvardiol,Croatia,Centre-back,2002-01-22
Duje Ćaleta-Car,Croatia,Centre-back,1996-09-17
Josip Šutalo,Croatia,Centre-back,2000-02-28
Nikola Moro,Croatia,Defensive midfielder,1998-03-12
Mateo Kovačić,Croatia,Central midfielder,1994-05-06
Andrej Kramarić,Croatia,Forward,1991-06-19
Luka Modrić,Croatia,Central midfielder,1985-09-09
Ante Budimir,Croatia,Striker,1991-07-22
Ivor Pandur,Croatia,Goalkeeper,2000-03-25
Nikola Vlašić,Croatia,Attacking midfielder,1997-10-04
Ivan Perišić,Croatia,Left winger,1989-02-02
Mario Pašalić,Croatia,Midfielder,1995-02-09
Martin Baturina,Croatia,Attacking midfielder,2003-02-16
Petar Sučić,Croatia,Midfielder,2003-10-25
Kristijan Jakić,Croatia,Defensive midfielder,1997-05-14
Toni Fruk,Croatia,Attacking midfielder,2001-03-09
Igor Matanović,Croatia,Striker,2003-03-31
Luka Sučić,Croatia,Midfielder,2002-09-08
Luka Vušković,Croatia,Centre-back,2007-02-24
Dominik Kotarski,Croatia,Goalkeeper,2000-02-10
Marco Pašalić,Croatia,Right winger,2000-09-14
Martin Erlić,Croatia,Centre-back,1998-01-24
Petar Musa,Croatia,Striker,1998-03-04
Jordan Pickford,England,Goalkeeper,1994-03-07
Ezri Konsa,England,Centre-back,1997-10-23
Nico O'Reilly,England,Left-back,2005-03-21
Declan Rice,England,Midfielder,1999-01-14
John Stones,England,Centre-back,1994-05-28
Marc Guéhi,England,Centre-back,2000-07-13
Bukayo Saka,England,Right winger,2001-09-05
Elliot Anderson,England,Midfielder,2002-11-06
Harry Kane,England,Striker,1993-07-28
Jude Bellingham,England,Midfielder,2003-06-29
Marcus Rashford,England,Forward,1997-10-31
Trevoh Chalobah,England,Centre-back,1999-07-05
Dean Henderson,England,Goalkeeper,1997-03-12
Jordan Henderson,England,Midfielder,1990-06-17
Dan Burn,England,Centre-back,1992-05-09
Kobbie Mainoo,England,Midfielder,2005-04-19
Morgan Rogers,England,Attacking midfielder,2002-07-26
Anthony Gordon,England,Winger,2001-02-24
Ollie Watkins,England,Forward,1995-12-30
Noni Madueke,England,Winger,2002-03-10
Eberechi Eze,England,Attacking midfielder,1998-06-29
Ivan Toney,England,Striker,1996-03-16
James Trafford,England,Goalkeeper,2002-10-10
Reece James,England,Right-back,1999-12-08
Djed Spence,England,Full-back,2000-08-09
Jarell Quansah,England,Centre-back,2003-01-29
Lawrence Ati-Zigi,Ghana,Goalkeeper,1996-11-29
Alidu Seidu,Ghana,Defender,2000-06-04
Caleb Yirenkyi,Ghana,Midfielder,2006-01-15
Jonas Adjetey,Ghana,Centre-back,2003-12-13
Thomas Partey,Ghana,Defensive midfielder,1993-06-13
Abdul Mumin,Ghana,Centre-back,1998-06-06
Abdul Fatawu,Ghana,Winger,2004-03-08
Kwasi Sibo,Ghana,Midfielder,1998-06-24
Jordan Ayew,Ghana,Winger,1991-09-11
Brandon Thomas-Asante,Ghana,Forward,1998-12-29
Antoine Semenyo,Ghana,Winger,2000-01-07
Joseph Anang,Ghana,Goalkeeper,2000-06-08
Christopher Bonsu Baah,Ghana,Right winger,2004-12-14
Gideon Mensah,Ghana,Left-back,1998-07-18
Elisha Owusu,Ghana,Midfielder,1997-11-07
Benjamin Asare,Ghana,Goalkeeper,1992-07-13
Abdul Rahman Baba,Ghana,Left-back,1994-07-02
Jerome Opoku,Ghana,Centre-back,1998-10-14
Iñaki Williams,Ghana,Forward,1994-06-15
Augustine Boakye,Ghana,Midfielder,2000-11-03
Kojo Peprah Oppong,Ghana,Defender,2004-06-04
Kamaldeen Sulemana,Ghana,Winger,2002-02-15
Derrick Luckassen,Ghana,Centre-back,1995-07-03
Ernest Nuamah,Ghana,Winger,2003-11-01
Prince Kwabena Adu,Ghana,Midfielder,2003-09-23
Marvin Senaya,Ghana,Right-back,2001-01-28
Luis Mejía,Panama,Goalkeeper,1991-03-16
César Blackman,Panama,Right-back,1998-04-02
José Córdoba,Panama,Defender,2001-06-03
Fidel Escobar,Panama,Centre-back,1995-01-09
Edgardo Fariña,Panama,Centre-back,2001-10-19
Cristian Martínez,Panama,Midfielder,1997-02-06
José Luis Rodríguez,Panama,Winger,1998-06-19
Adalberto Carrasquilla,Panama,Midfielder,1998-11-28
Tomás Rodríguez,Panama,Forward,1999-03-09
Ismael Díaz,Panama,Winger,1997-05-12
Yoel Bárcenas,Panama,Winger,1993-10-23
César Samudio,Panama,Goalkeeper,1994-02-23
Jiovany Ramos,Panama,Centre-back,1997-01-26
Carlos Harvey,Panama,Defensive midfielder,2000-02-03
Eric Davis,Panama,Left-back,1991-03-31
Andrés Andrade,Panama,Defender,1998-10-16
José Fajardo,Panama,Forward,1993-08-18
Cecilio Waterman,Panama,Striker,1991-04-13
Alberto Quintero,Panama,Winger,1987-12-18
Aníbal Godoy,Panama,Defensive midfielder,1990-02-10
César Yanis,Panama,Winger,1996-01-28
Orlando Mosquera,Panama,Goalkeeper,1994-12-25
Michael Amir Murillo,Panama,Right-back,1996-02-11
Azarias Londoño,Panama,Forward,2001-06-21
Roderick Miller,Panama,Centre-back,1992-04-03
Jorge Gutiérrez,Panama,Left-back,1998-09-01
